Program Studi,SNMPTN,SBMPTN,SMMPTN,TA
Hukum,120,172,120,2019
Pendidikan Luar Sekolah,36,57,36,2019
Pendidikan Bahasa Indonesia,36,55,36,2019
Pendidikan Bahasa Inggris,36,50,36,2019
Pendidikan Matematika,36,54,36,2019
Pendidikan Biologi,36,49,36,2019
Pendidikan Guru Sekolah Dasar,36,51,36,2019
Pendidikan Anak Usia Dini,24,39,24,2019
Pendidikan Konseling,24,37,24,2019
Pendidikan Fisika,24,32,24,2019
Pendidikan IPA,24,32,24,2019
Pendidikan Kimia,24,33,24,2019
Pendidikan Luar Biasa,24,32,24,2019
Pendidikan Kewarganegaraan,24,36,24,2019
Pendidikan Sejarah,24,33,24,2019
"Pendidikan Seni Drama, Tari dan Musik",24,35,24,2019
Pendidikan Sosiologi,24,34,24,2019
Pendidikan Teknik Elektro,24,43,24,2019
Pendidikan Teknik Mesin,24,42,24,2019
Ilmu Keolahragaan,12,20,12,2019
Teknik Mesin,36,52,36,2019
Teknik Elektro,36,55,36,2019
Teknik Industri,36,51,36,2019
Teknik Metalurgi,36,50,36,2019
Teknik Kimia,36,51,36,2019
Teknik Sipil,24,32,24,2019
Agribisnis,60,89,60,2019
Agroekoteknologi,60,86,60,2019
Perikanan,36,52,36,2019
Teknologi Pangan,36,49,36,2019
Gizi,12,16,12,2019
Manajemen,42,63,42,2019
Akuntansi,42,58,42,2019
Ekonomi Pembangunan,24,34,24,2019
Ekonomi Syariah,12,18,12,2019
Administrasi Publik,48,68,48,2019
Ilmu Komunikasi,60,87,60,2019
Ilmu Pemerintahan,36,52,36,2019
Hukum,120,160,120,2020
Pendidikan Non Formal,36,48,36,2020
Pendidikan Bahasa Indonesia,36,48,36,2020
Pendidikan Bahasa Inggris,36,48,36,2020
Pendidikan Biologi,36,48,36,2020
Pendidikan Matematika,36,48,36,2020
Pendidikan Guru Sekolah Dasar,36,48,36,2020
Pendidikan Guru Pendidikan Anak Usia Dini,24,32,24,2020
Pendidikan Fisika,24,32,24,2020
Pendidikan IPA,24,32,24,2020
Pendidikan Kimia,24,32,24,2020
Pendidikan Vokasi Teknik Elektro,24,32,24,2020
Pendidikan Vokasi Teknik Mesin,24,32,24,2020
Bimbingan dan Konseling,24,32,24,2020
Pendidikan Pancasila dan Kewarganegaraan,24,32,24,2020
Pendidikan Khusus,24,32,24,2020
Pendidikan Sejarah,24,32,24,2020
Pendidikan Seni Pertunjukan,24,32,24,2020
Pendidikan Sosiologi,24,32,24,2020
Teknik Mesin,36,48,36,2020
Teknik Elektro,36,48,36,2020
Teknik Industri,36,48,36,2020
Teknik Metalurgi,36,48,36,2020
Teknik Kimia,36,48,36,2020
Teknik Sipil,36,48,36,2020
Agribisnis,72,96,72,2020
Agroekoteknologi,60,80,60,2020
Ilmu Perikanan,48,64,48,2020
Teknologi Pangan,36,48,36,2020
Manajemen,54,72,54,2020
Akuntansi,54,72,54,2020
Ilmu Ekonomi Pembangunan,36,48,36,2020
Ekonomi Syariah,27,36,27,2020
Administrasi Publik,48,64,48,2020
Ilmu Komunikasi,60,80,60,2020
Ilmu Pemerintahan,24,32,24,2020
Kedokteran,15,20,15,2020
Gizi,12,16,12,2020
Ilmu Keolahragaan,12,16,12,2020
Akuntansi-D3 /FEB,,,90,2020
Manajemen Pemasaran-D3 /FEB,,,90,2020
Perpajakan-D3 /FEB,,,90,2020
Perbankan dan Keuangan-D3 /FEB,,,90,2020
Keperawatan-D3 /Kedokteran,,,120,2020
Pendidikan Bahasa Indonesia,,,20,2020
Teknologi Pendidikan,,,60,2020
Hukum,,,80,2020
Magister Akuntansi,,,40,2020
Magister Administrasi Publik,,,40,2020
Magister Manajemen,,,80,2020
Pendidikan Bahasa Inggris,,,40,2020
Pendidikan Matematika,,,40,2020
Ilmu Pertanian,,,40,2020
Teknik Kimia,,,40,2020
Ilmu Komunikasi,,,40,2020
Pendidikan (S3),,,15,2020
